Latitude,Longitude,Name
48.142677, 17.099634, P0Bod1
48.142677, 17.099635, P0Bod2
48.142630, 17.099910, P0Bod3
48.142584, 17.100181, P0Bod4
48.142561, 17.100323, P0Bod5
48.142557, 17.100344, P0Bod6
48.142497, 17.100702, P0Bod7
48.142493, 17.100723, P0Bod8
48.142484, 17.100774, P0Bod9
48.142479, 17.100773, P0Bod10
48.142417, 17.100749, P0Bod11
48.142380, 17.100735, P0Bod12
48.141978, 17.100579, P0Bod13
48.141962, 17.100573, P0Bod14
48.141944, 17.100566, P0Bod15
48.141894, 17.100546, P0Bod16
48.141919, 17.100237, P0Bod17
48.141922, 17.100181, P0Bod18
48.141922, 17.100173, P0Bod19
48.141924, 17.100147, P0Bod20
48.141924, 17.100132, P0Bod21
48.141922, 17.100056, P0Bod22
48.141924, 17.099936, P0Bod23
48.141928, 17.099930, P0Bod24
48.141933, 17.099918, P0Bod25
48.141933, 17.099902, P0Bod26
48.141934, 17.099893, P0Bod27
48.141937, 17.099831, P0Bod28
48.141926, 17.099830, P0Bod29
48.141930, 17.099769, P0Bod30
48.141933, 17.099716, P0Bod31
48.141947, 17.099453, P0Bod32
48.141988, 17.099459, P0Bod33
48.142080, 17.099473, P0Bod34
48.142082, 17.099482, P0Bod35
48.142669, 17.099632, P0Bod36
48.142677, 17.099634, P0Bod37
